expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
-ga,-ga,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_008,neither,
-ga,-ga,conj-contrast-epi,1,0,1,0,0,1,0,0,1,jp_ev_012,neither,
-ga,-ga,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,jp_ev_016,neither,
-ga,-ga,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,jp_ev_017,neither,
-ga,-ga,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,jp_ev_070,neither,
-ga,-ga,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_074,neither,
-ga,-ga,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_078,neither,
-ga,-ga,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_082,neither,
shikashi,-ga shikashi,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_009,neither,
shikashi,-ga shikashi,conj-contrast-epi,1,0,1,0,0,1,0,0,1,jp_ev_013,neither,
shikashi,-ga shikashi,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,jp_ev_071,neither,Judgment is '??'
shikashi,-ga shikashi,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_075,neither,
shikashi,-ga shikashi,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_079,neither,
shikashi,-ga shikashi,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_083,neither,
tokoroga,-ga tokoroga,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_010,neither,
tokoroga,-ga tokoroga,conj-contrast-epi,1,0,1,0,0,1,0,0,1,jp_ev_014,neither,
tokoroga,-ga tokoroga,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,jp_ev_072,neither,Judgment is '??'
tokoroga,-ga tokoroga,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_076,neither,
tokoroga,-ga tokoroga,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_080,neither,
tokoroga,-ga tokoroga,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_084,neither,
demo,-ga demo,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_011,neither,
demo,-ga demo,conj-contrast-epi,1,0,1,0,0,1,0,0,1,jp_ev_015,neither,
demo,-ga demo,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,jp_ev_073,neither,Judgment is '??'
demo,-ga demo,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_077,neither,
demo,-ga demo,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_081,neither,
demo,-ga demo,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_085,neither,
-ka,-ka,disj-spk,0,0,,1,0,1,0,0,1,"jp_ev_018,jp_ev_022",neither,
-ka,-ka,disj-nspk-epi,0,0,1,0,0,0,0,0,1,jp_ev_026,neither,
-ka,-ka,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"jp_ev_028,jp_ev_094",neither,
-ka,-ka,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,jp_ev_086,neither,
-ka,-ka,conj-contrast-sta,1,0,1,1,0,1,0,0,0,jp_ev_090,neither,
-ka,-ka,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_098,neither,
-ka ... -ka,-ka ... -ka,disj-spk,0,0,,1,0,1,0,0,1,"jp_ev_019,jp_ev_023",neither,
-ka ... -ka,-ka ... -ka,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"jp_ev_029,jp_ev_097",neither,
-ka ... -ka,-ka ... -ka,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,jp_ev_032,neither,
-ka ... -ka,-ka ... -ka,disj-nspk-sta-q,?,0,,1,0,0,1,0,1,jp_ev_034,neither,
-ka ... -ka,-ka ... -ka,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,jp_ev_089,neither,
-ka ... -ka,-ka ... -ka,conj-contrast-sta,1,0,1,1,0,1,0,0,0,jp_ev_093,neither,
-ka ... -ka,-ka ... -ka,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_101,neither,
matawa,-ka matawa,disj-spk,0,0,,1,0,1,0,0,1,"jp_ev_020,jp_ev_024",neither,
matawa,-ka matawa,disj-nspk-epi,0,0,1,0,0,0,0,0,1,jp_ev_027,neither,
matawa,-ka matawa,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,jp_ev_030,neither,
matawa,-ka matawa,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,jp_ev_087,neither,
matawa,-ka matawa,conj-contrast-sta,1,0,1,1,0,1,0,0,0,jp_ev_091,neither,
matawa,-ka matawa,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_099,neither,
matawa,-ka matawa -ka,disj-spk,0,0,,1,0,1,0,0,1,"jp_ev_021,jp_ev_025",neither,
matawa,-ka matawa -ka,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"jp_ev_031,jp_ev_096",neither,
matawa,-ka matawa -ka,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,jp_ev_088,neither,
matawa,-ka matawa -ka,conj-contrast-sta,1,0,1,1,0,1,0,0,0,jp_ev_092,neither,
matawa,-ka matawa -ka,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_100,neither,
soretomo,-ka soretomo -ka,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,jp_ev_033,neither,
soretomo,-ka soretomo -ka,disj-nspk-sta-q,?,0,,1,0,0,1,0,1,jp_ev_035,neither,
mata,nai-shi mata ... nai,neither-sta,0,1,,1,0,0,0,0,1,jp_ev_036,below,
mata,nai-shi mata ... nai,neither-epi,0,1,,0,1,0,0,0,1,jp_ev_039,below,
mata,nai-shi mata ... nai,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,jp_ev_102,below,
mata,nai-shi mata ... nai,conj-contrast-sta,1,0,1,1,0,1,0,0,0,jp_ev_105,below,
mata,nai-shi mata ... nai,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_108,below,
mata,nai-shi mata ... nai,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_111,below,
sorekara,nai-shi sorekara ... nai,neither-sta,0,1,,1,0,0,0,0,1,jp_ev_037,below,
sorekara,nai-shi sorekara ... nai,neither-epi,0,1,,0,1,0,0,0,?,jp_ev_041,below,Judgment is '??'
sorekara,nai-shi sorekara ... nai,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,jp_ev_103,below,
sorekara,nai-shi sorekara ... nai,conj-contrast-sta,1,0,1,1,0,1,0,0,0,jp_ev_106,below,
sorekara,nai-shi sorekara ... nai,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_109,below,
sorekara,nai-shi sorekara ... nai,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_112,below,
soshite,nai-shi soshite ... nai,neither-sta,0,1,,1,0,0,0,0,1,jp_ev_038,below,
soshite,nai-shi soshite ... nai,neither-epi,0,1,,0,1,0,0,0,1,jp_ev_040,below,
soshite,nai-shi soshite ... nai,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,jp_ev_104,below,
soshite,nai-shi soshite ... nai,conj-contrast-sta,1,0,1,1,0,1,0,0,0,jp_ev_107,below,
soshite,nai-shi soshite ... nai,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_110,below,
soshite,nai-shi soshite ... nai,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_113,below,
