expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
ite,ite … ite …,neither-sta,0,0,0,1,0,0,0,0,0,GR-EVD-062,neither,
ite,ite,disj-nspk-q-exc,0,0,1,0,0,0,1,0,?,GR-EVD-074,neither,"Evidence shows single 'ite' can be felicitous (GR-EVD-074), but 'ite...ite' in same context is infelicitous (GR-EVD-073)."
ute,dhen … ute… ute …,neither-sta,0,1,0,1,0,0,0,0,1,"GR-EVD-026,GR-EVD-027",above,
ute,dhen … ute… ute …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"GR-EVD-077,GR-EVD-078",above,
ute,dhen … ute… ute …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"GR-EVD-081,GR-EVD-082",above,
ute,dhen … ute… ute …,disj-spk,0,0,0,1,0,1,0,0,0,"GR-EVD-085,GR-EVD-086",above,
ute,dhen … ute… ute …,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,"GR-EVD-089,GR-EVD-090",above,
ute,dhen … ute… ute …,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"GR-EVD-093,GR-EVD-094",above,
ute,dhen … ute …,neither-sta,0,1,0,1,0,0,0,0,1,"GR-EVD-028,GR-EVD-029",above,
ute,dhen … ute …,neither-epi,0,1,0,0,1,0,0,0,1,GR-EVD-033,above,
ute,dhen … ute …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"GR-EVD-079,GR-EVD-080",above,
ute,dhen … ute …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"GR-EVD-083,GR-EVD-084",above,
ute,dhen … ute …,disj-spk,0,0,0,1,0,1,0,0,0,"GR-EVD-087,GR-EVD-088",above,
ute,dhen … ute …,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,"GR-EVD-091,GR-EVD-092",above,
ute,dhen … ute …,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"GR-EVD-095,GR-EVD-096",above,
ute,ute … ute ….,neither-sta,0,1,0,1,0,0,0,0,1,GR-EVD-030,neither,
ute,ute … ute ….,neither-epi,0,1,0,0,1,0,0,0,1,GR-EVD-032,neither,
ute,dhen …. ute …. dhen … ute …,neither-sta,0,1,0,1,0,0,0,0,1,GR-EVD-031,below,
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,GR-EVD-002,neither,"Judgment is 'felicitous' in Q1 but '?' in Q2, with comments noting it is dispreferred."
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,GR-EVD-004,neither,
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,?,GR-EVD-044,neither,Judgment is '?' in Q2.
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,GR-EVD-011,neither,
∅,∅,disj-spk,0,0,0,1,0,1,0,0,0,GR-EVD-053,neither,
∅,∅,disj-nspk-epi,0,0,1,0,0,0,0,0,0,GR-EVD-064,neither,
∅,∅,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,"GR-EVD-065,GR-EVD-066",neither,
∅,∅,neither-sta,0,1,0,1,0,0,0,0,0,"GR-EVD-075,GR-EVD-076",neither,
