expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
veya,veya,disj-nspk-epi-exc,0,0,NaN,1,0,0,0,0,1,TRK_EVD_115,neither,
veya,veya,disj-nspk-epi-inc,?,0,NaN,1,0,0,0,0,1,TRK_EVD_126,neither,
veya,veya,disj-nspk-q-exc,0,0,1,0,0,0,1,0,?,TRK_EVD_148,neither,Conflicting evidence.
veya,veya,disj-nspk-sta-inc,?,0,NaN,1,0,0,0,0,1,TRK_EVD_131,neither,
veya,veya,disj-spk,0,0,NaN,1,0,1,0,0,0,TRK_EVD_024,neither,
veya,veya,fc,0,0,NaN,0,0,0,0,1,1,TRK_EVD_151,neither,
veya,veya,neither-epi,0,1,NaN,0,0,0,0,0,0,TRK_EVD_140,neither,
ya…ya da…,ya…ya da…,conj-contrast-epi,1,0,1,0,0,1,0,0,0,TRK_EVD_101,neither,
ya…ya da…,ya…ya da…,conj-nocontrast-epi,1,0,0,0,0,1,0,0,0,TRK_EVD_085,neither,
ya…ya da…,ya…ya da…,disj-nspk-epi,0,0,1,0,0,0,0,0,1,TRK_EVD_026,neither,
ya…ya da…,ya…ya da…,disj-nspk-epi-exc,0,0,NaN,1,0,0,0,0,1,TRK_EVD_112,neither,
ya…ya da…,ya…ya da…,disj-nspk-epi-inc,?,0,NaN,1,0,0,0,0,0,TRK_EVD_123,neither,
ya…ya da…,ya…ya da…,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,TRK_EVD_145,neither,
ya…ya da…,ya…ya da…,disj-nspk-sta-exc,0,0,NaN,1,0,0,0,0,1,TRK_EVD_028,neither,
ya…ya da…,ya…ya da…,disj-nspk-sta-inc,?,0,NaN,1,0,0,0,0,0,TRK_EVD_029,neither,
ya…ya da…,ya…ya da…,disj-spk,0,0,NaN,1,0,1,0,0,1,"TRK_EVD_022,TRK_EVD_025",neither,
ya…ya da…,ya…ya da…,fc,0,0,NaN,0,0,0,0,1,1,"TRK_EVD_036,TRK_EVD_149",neither,
ya…ya da…,ya…ya da…,neither-epi,0,1,NaN,0,0,0,0,0,0,TRK_EVD_137,neither,
yoksa,yoksa,disj-nspk-epi,0,0,1,0,0,0,0,0,1,TRK_EVD_027,neither,
yoksa,yoksa,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,"TRK_EVD_031,TRK_EVD_144",neither,
yoksa,yoksa,disj-nspk-q-inc,?,0,NaN,1,0,0,1,0,1,TRK_EVD_033,neither,
yoksa,yoksa,disj-nspk-sta-inc,?,0,NaN,1,0,0,0,0,1,TRK_EVD_132,neither,
…ya da …,…ya da…,conj-contrast-epi,1,0,1,0,0,1,0,0,0,TRK_EVD_097,neither,
…ya da …,…ya da…,conj-nocontrast-epi,1,0,0,0,0,1,0,0,0,TRK_EVD_081,neither,
…ya da …,…ya da…,disj-nspk-epi-exc,0,0,NaN,1,0,0,0,0,1,TRK_EVD_108,neither,
…ya da …,…ya da…,disj-nspk-epi-inc,?,0,NaN,1,0,0,0,0,1,TRK_EVD_119,neither,
…ya da …,…ya da…,disj-nspk-q-exc,0,0,1,0,0,0,1,0,?,"TRK_EVD_146,TRK_EVD_147",neither,Conflicting evidence.
…ya da …,…ya da…,disj-nspk-sta-inc,?,0,NaN,1,0,0,0,0,1,TRK_EVD_130,neither,
…ya da …,…ya da…,disj-spk,0,0,NaN,1,0,1,0,0,1,TRK_EVD_023,neither,
…ya da …,…ya da…,fc,0,0,NaN,0,0,0,0,1,?,"TRK_EVD_034,TRK_EVD_035,TRK_EVD_150",neither,Conflicting evidence.
…ya da …,…ya da…,neither-epi,0,1,NaN,0,0,0,0,0,0,TRK_EVD_133,,
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,TRK_EVD_063,,
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,TRK_EVD_011,,
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"TRK_EVD_007,TRK_EVD_008,TRK_EVD_009,TRK_EVD_037,TRK_EVD_038",,Conflicting evidence.
∅,∅,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,TRK_EVD_030,,
∅,∅,disj-nspk-q-inc,?,0,NaN,1,0,0,1,0,1,TRK_EVD_032,,
∅,∅,disj-spk,0,0,NaN,1,0,1,0,0,0,TRK_EVD_080,,
