expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments,source_file,ref,words,glosses,translation,comment,questionnaire
ɛna,ɛna,disj-nspk-exc-sta,0,0,,1,0,0,0,0,0,akan_evidence_33,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,disj-nspk-inc-epi,?,0,,0,0,0,0,0,1,akan_evidence_41,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,disj-nspk-inc-sta,?,0,,1,0,0,0,0,0,akan_evidence_35,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,disj-spk-epi,0,0,,0,0,1,0,0,0,akan_evidence_39,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,disj-spk-sta,0,0,,1,0,1,0,0,0,akan_evidence_31,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,neither-epi,0,1,,0,1,0,0,0,0,akan_evidence_42,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,neither-sta,0,1,,1,0,0,0,0,0,akan_evidence_37,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna … (-sane) …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,akan_evidence_1,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna … (-sane) …,disj-nspk-exc-sta,0,0,,1,0,0,0,0,0,akan_evidence_32,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna … (-sane) …,disj-nspk-inc-sta,?,0,,1,0,0,0,0,0,akan_evidence_34,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna … (-sane) …,disj-spk-sta,0,0,,1,0,1,0,0,0,akan_evidence_30,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna … (-sane) …,neither-sta,0,1,,1,0,0,0,0,0,akan_evidence_36,neither,,Akan,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-epi,1,0,1,0,0,1,0,0,0,akan_evidence_48,neither,,Akan,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,akan_evidence_50,neither,,Akan,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,akan_evidence_49,neither,,Akan,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,akan_evidence_43,neither,,Akan,NA,NA,NA,NA,NA,NA
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"akan_evidence_38,akan_evidence_5",neither,,Akan,NA,NA,NA,NA,NA,NA
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"akan_evidence_28,akan_evidence_29,akan_evidence_3",neither,,Akan,NA,NA,NA,NA,NA,NA
∅,∅,disj-spk-sta,0,0,,1,0,1,0,0,0,akan_evidence_65,neither,,Akan,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,basque_evidence_041,neither,,Basque,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,basque_evidence_040,neither,,Basque,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"basque_evidence_030, basque_evidence_031",neither,,Basque,NA,NA,NA,NA,NA,NA
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"basque_evidence_005, basque_evidence_006",neither,,Basque,NA,NA,NA,NA,NA,NA
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"basque_evidence_002, basque_evidence_025",neither,,Basque,NA,NA,NA,NA,NA,NA
∅,∅,disj-nspk-epi,0,0,1,0,0,0,0,0,0,basque_evidence_070,neither,,Basque,NA,NA,NA,NA,NA,NA
∅,∅,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,basque_evidence_071,neither,,Basque,NA,NA,NA,NA,NA,NA
∅,∅,disj-spk,0,0,nan,1,0,1,0,0,0,"basque_evidence_058, basque_evidence_059",neither,,Basque,NA,NA,NA,NA,NA,NA
ala,ala,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"basque_evidence_062, basque_evidence_063",neither,,Basque,NA,NA,NA,NA,NA,NA
ala,ala,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"basque_evidence_060, basque_evidence_061",neither,,Basque,NA,NA,NA,NA,NA,NA
ala,ala,disj-nspk-epi,0,0,1,0,0,0,0,0,0,basque_evidence_072,neither,,Basque,NA,NA,NA,NA,NA,NA
ala,ala,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,basque_evidence_020,neither,,Basque,NA,NA,NA,NA,NA,NA
ala,ala,disj-nspk-q-inc,?,0,nan,1,0,0,1,0,0,basque_evidence_076,neither,,Basque,NA,NA,NA,NA,NA,NA
ala,ala,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,?,"basque_evidence_064, basque_evidence_068, basque_evidence_065, basque_evidence_069, basque_evidence_073",neither,Conflicting evidence found.,Basque,NA,NA,NA,NA,NA,NA
ala,ala,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,"basque_evidence_066, basque_evidence_067, basque_evidence_074",neither,,Basque,NA,NA,NA,NA,NA,NA
ala,ala,disj-spk,0,0,nan,1,0,1,0,0,1,"basque_evidence_015, basque_evidence_016, basque_evidence_014",neither,,Basque,NA,NA,NA,NA,NA,NA
ala,ala,fc,0,0,nan,0,0,0,0,1,1,basque_evidence_024,neither,,Basque,NA,NA,NA,NA,NA,NA
baina,baina,conj-contrast-epi,1,0,1,0,0,1,0,0,1,basque_evidence_009,neither,,Basque,NA,NA,NA,NA,NA,NA
baina,baina,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"basque_evidence_007, basque_evidence_008",neither,,Basque,NA,NA,NA,NA,NA,NA
baina,baina,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,"basque_evidence_034, basque_evidence_035",neither,,Basque,NA,NA,NA,NA,NA,NA
baina,baina,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,"basque_evidence_036, basque_evidence_037",neither,,Basque,NA,NA,NA,NA,NA,NA
baina,baina,disj-spk,0,0,nan,1,0,1,0,0,0,"basque_evidence_032, basque_evidence_033",neither,,Basque,NA,NA,NA,NA,NA,NA
baina,baina,neither-sta,0,1,nan,1,0,0,0,0,0,"basque_evidence_038, basque_evidence_039",neither,,Basque,NA,NA,NA,NA,NA,NA
baizik,baizik,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,basque_evidence_013,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik,baizik,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,basque_evidence_011,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik,baizik,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"basque_evidence_046, basque_evidence_047",neither,,Basque,NA,NA,NA,NA,NA,NA
baizik,baizik,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,basque_evidence_043,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik,baizik,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,basque_evidence_053,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik,baizik,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,basque_evidence_055,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik,baizik,disj-spk,0,0,nan,1,0,1,0,0,0,"basque_evidence_049, basque_evidence_051",neither,,Basque,NA,NA,NA,NA,NA,NA
baizik,baizik,neither-sta,0,1,nan,1,0,0,0,0,0,basque_evidence_057,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik eta,baizik eta,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,basque_evidence_012,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik eta,baizik eta,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,basque_evidence_010,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik eta,baizik eta,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"basque_evidence_044, basque_evidence_045",neither,,Basque,NA,NA,NA,NA,NA,NA
baizik eta,baizik eta,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,basque_evidence_042,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik eta,baizik eta,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,basque_evidence_052,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik eta,baizik eta,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,basque_evidence_054,neither,,Basque,NA,NA,NA,NA,NA,NA
baizik eta,baizik eta,disj-spk,0,0,nan,1,0,1,0,0,0,"basque_evidence_048, basque_evidence_050",neither,,Basque,NA,NA,NA,NA,NA,NA
baizik eta,baizik eta,neither-sta,0,1,nan,1,0,0,0,0,0,basque_evidence_056,neither,,Basque,NA,NA,NA,NA,NA,NA
edo,edo,disj-nspk-epi,0,0,1,0,0,0,0,0,1,basque_evidence_017,neither,,Basque,NA,NA,NA,NA,NA,NA
edo,edo,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,basque_evidence_075,neither,,Basque,NA,NA,NA,NA,NA,NA
edo,edo,disj-nspk-q-inc,?,0,nan,1,0,0,1,0,1,basque_evidence_021,neither,,Basque,NA,NA,NA,NA,NA,NA
edo,edo,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,1,basque_evidence_018,neither,,Basque,NA,NA,NA,NA,NA,NA
edo,edo,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,1,basque_evidence_019,neither,,Basque,NA,NA,NA,NA,NA,NA
edo,edo,fc,0,0,nan,0,0,0,0,1,0,basque_evidence_077,neither,,Basque,NA,NA,NA,NA,NA,NA
eta,eta,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"basque_evidence_003, basque_evidence_004",neither,,Basque,NA,NA,NA,NA,NA,NA
eta,eta,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,basque_evidence_001,neither,,Basque,NA,NA,NA,NA,NA,NA
eta,eta,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,basque_evidence_027,neither,,Basque,NA,NA,NA,NA,NA,NA
eta,eta,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,basque_evidence_028,neither,,Basque,NA,NA,NA,NA,NA,NA
eta,eta,disj-spk,0,0,nan,1,0,1,0,0,0,basque_evidence_026,neither,,Basque,NA,NA,NA,NA,NA,NA
eta,eta,neither-sta,0,1,nan,1,0,0,0,0,0,basque_evidence_029,neither,,Basque,NA,NA,NA,NA,NA,NA
ez ... ezta,ez ... ezta,neither-epi,0,1,nan,0,1,0,0,0,1,basque_evidence_023,above,,Basque,NA,NA,NA,NA,NA,NA
ez ... ezta,ez ... ezta,neither-sta,0,1,nan,1,0,0,0,0,1,basque_evidence_022,above,,Basque,NA,NA,NA,NA,NA,NA
jau,jau,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,CAN_EVID_001,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jau,jau,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,CAN_EVID_024,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jau,jau,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,CAN_EVID_025,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jau,jau,disj-spk,0,0,,1,0,1,0,0,0,CAN_EVID_023,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jau,jau,neither-sta,0,1,,1,0,0,0,0,0,CAN_EVID_026,neither,,Cantonese,NA,NA,NA,NA,NA,NA
daanhai,daanhai,conj-contrast-sta,1,0,1,1,0,1,0,0,1,CAN_EVID_004,neither,,Cantonese,NA,NA,NA,NA,NA,NA
daanhai,daanhai,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,CAN_EVID_029,neither,,Cantonese,NA,NA,NA,NA,NA,NA
daanhai,daanhai,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,CAN_EVID_030,neither,,Cantonese,NA,NA,NA,NA,NA,NA
daanhai,daanhai,disj-spk,0,0,,1,0,1,0,0,0,CAN_EVID_028,neither,,Cantonese,NA,NA,NA,NA,NA,NA
daanhai,daanhai,neither-sta,0,1,,1,0,0,0,0,0,CAN_EVID_031,neither,,Cantonese,NA,NA,NA,NA,NA,NA
batgwo,batgwo,conj-contrast-epi,1,0,1,0,0,1,0,0,1,CAN_EVID_005,neither,,Cantonese,NA,NA,NA,NA,NA,NA
batgwo,batgwo,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,CAN_EVID_008,neither,,Cantonese,NA,NA,NA,NA,NA,NA
batgwo,batgwo,disj-nspk-epi-exc,0,0,,0,0,0,0,0,0,CAN_EVID_033,neither,,Cantonese,NA,NA,NA,NA,NA,NA
batgwo,batgwo,disj-nspk-epi-inc,?,0,,0,0,0,0,0,0,CAN_EVID_034,neither,,Cantonese,NA,NA,NA,NA,NA,NA
batgwo,batgwo,neither-epi,0,1,,0,0,0,0,0,0,CAN_EVID_035,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jik,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,CAN_EVID_007,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jik,conj-contrast-sta,1,0,1,1,0,1,0,0,0,CAN_EVID_038,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jik,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,CAN_EVID_037,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jik,disj-nspk-epi-q,0,0,1,0,0,0,1,0,0,CAN_EVID_063,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jik,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,CAN_EVID_041,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jik,disj-spk,0,0,,1,0,1,0,0,0,"CAN_EVID_039,CAN_EVID_040",neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jik,fc,0,0,,0,0,0,0,1,1,CAN_EVID_077,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jik,neither-sta,0,1,,1,0,0,0,0,0,"CAN_EVID_044,CAN_EVID_045",neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jau honang … jik jau honang,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,CAN_EVID_060,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,jau honang … jik jau honang,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"CAN_EVID_014,CAN_EVID_042",neither,,Cantonese,NA,NA,NA,NA,NA,NA
jat-hai,jat-hai … jat-hai,disj-nspk-epi,0,0,1,0,0,0,0,0,1,CAN_EVID_012,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jat-hai,jat-hai … jat-hai,disj-nspk-epi-q,0,0,1,0,0,0,1,0,?,CAN_EVID_064,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jat-hai,jat-hai … jat-hai,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,CAN_EVID_013,neither,,Cantonese,NA,NA,NA,NA,NA,NA
jat-hai,jat-hai … jat-hai,disj-spk,0,0,,1,0,1,0,0,1,"CAN_EVID_009,CAN_EVID_011",neither,,Cantonese,NA,NA,NA,NA,NA,NA
jat-hai,jat-hai … jat-hai,fc,0,0,,0,0,0,0,1,?,CAN_EVID_076,neither,,Cantonese,NA,NA,NA,NA,NA,NA
waakze,waakze,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"CAN_EVID_049,CAN_EVID_050",neither,,Cantonese,NA,NA,NA,NA,NA,NA
waakze,waakze,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"CAN_EVID_047,CAN_EVID_048",neither,,Cantonese,NA,NA,NA,NA,NA,NA
waakze,waakze,disj-nspk-epi-q,0,0,1,0,0,0,1,0,?,CAN_EVID_062,neither,,Cantonese,NA,NA,NA,NA,NA,NA
waakze,waakze,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"CAN_EVID_051,CAN_EVID_052",neither,,Cantonese,NA,NA,NA,NA,NA,NA
waakze,waakze,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"CAN_EVID_053,CAN_EVID_055",neither,,Cantonese,NA,NA,NA,NA,NA,NA
waakze,waakze,disj-spk,0,0,,1,0,1,0,0,1,CAN_EVID_010,neither,,Cantonese,NA,NA,NA,NA,NA,NA
waakze,waakze,fc,0,0,,0,0,0,0,1,1,CAN_EVID_020,neither,,Cantonese,NA,NA,NA,NA,NA,NA
waakze,waakze,neither-sta,0,1,,1,0,0,0,0,0,"CAN_EVID_056,CAN_EVID_057",neither,,Cantonese,NA,NA,NA,NA,NA,NA
dinghai,dinghai,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,CAN_EVID_015,neither,,Cantonese,NA,NA,NA,NA,NA,NA
dinghai,dinghai,disj-nspk-sta-q,?,0,,1,0,0,1,0,1,CAN_EVID_016,neither,,Cantonese,NA,NA,NA,NA,NA,NA
dinghai,dinghai,fc,0,0,,0,0,0,0,1,0,"CAN_EVID_078,CAN_EVID_079",neither,,Cantonese,NA,NA,NA,NA,NA,NA
jik,m … jik m,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"CAN_EVID_068,CAN_EVID_069",below,,Cantonese,NA,NA,NA,NA,NA,NA
jik,m … jik m,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"CAN_EVID_066,CAN_EVID_067",below,,Cantonese,NA,NA,NA,NA,NA,NA
jik,m … jik m,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"CAN_EVID_072,CAN_EVID_073",below,,Cantonese,NA,NA,NA,NA,NA,NA
jik,m … jik m,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"CAN_EVID_074,CAN_EVID_075",below,,Cantonese,NA,NA,NA,NA,NA,NA
jik,m … jik m,disj-spk,0,0,,1,0,1,0,0,0,"CAN_EVID_070,CAN_EVID_071",below,,Cantonese,NA,NA,NA,NA,NA,NA
jik,m … jik m,negative,0,1,,1,,0,0,0,1,CAN_EVID_022,below,,Cantonese,NA,NA,NA,NA,NA,NA
jik,m … jik m,neither-sta,0,1,,1,0,0,0,0,1,CAN_EVID_017,below,,Cantonese,NA,NA,NA,NA,NA,NA
jau,jau m … jau m,negative,0,1,,1,,0,0,0,1,CAN_EVID_021,below,,Cantonese,NA,NA,NA,NA,NA,NA
jau,jau m … jau m,neither-sta,0,1,,1,0,0,0,0,1,CAN_EVID_018,below,,Cantonese,NA,NA,NA,NA,NA,NA
jik,mou … jik mou,neither-epi,0,1,,0,1,0,0,0,1,CAN_EVID_019,below,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-epi,1,0,1,0,0,1,0,0,1,CAN_EVID_032,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,CAN_EVID_036,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,CAN_EVID_006,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,?,CAN_EVID_027,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,?,CAN_EVID_003,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,CAN_EVID_002,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,disj-nspk-epi,0,0,1,0,0,0,0,0,0,CAN_EVID_058,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,CAN_EVID_059,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,disj-spk,0,0,,1,0,1,0,0,0,CAN_EVID_046,neither,,Cantonese,NA,NA,NA,NA,NA,NA
∅,∅,neither-sta,0,1,,1,0,0,0,0,?,CAN_EVID_065,neither,,Cantonese,NA,NA,NA,NA,NA,NA
yucitongshi,(bingqie) yucitongshi,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"chinese-ev-6,chinese-ev-7",neither,,Chinese,NA,NA,NA,NA,NA,NA
bingqie,bingqie + (hai/ye),conj-contrast-sta,1,0,1,1,0,1,0,0,1,"chinese-ev-44,chinese-ev-45",neither,,Chinese,NA,NA,NA,NA,NA,NA
bingqie,bingqie + (hai/ye),conj-nocontrast-epi,1,0,0,0,0,1,0,0,?,"chinese-ev-4,chinese-ev-5",neither,Conflicting evidence found.,Chinese,NA,NA,NA,NA,NA,NA
bingqie,bingqie + (hai/ye),disj-spk,0,0,0,1,0,1,0,0,0,"chinese-ev-51,chinese-ev-52",neither,,Chinese,NA,NA,NA,NA,NA,NA
buguo,buguo,conj-contrast-epi,1,0,1,0,0,1,0,0,1,chinese-ev-14,neither,,Chinese,NA,NA,NA,NA,NA,NA
buguo,buguo,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-18,neither,,Chinese,NA,NA,NA,NA,NA,NA
buguo,buguo,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-59,neither,,Chinese,NA,NA,NA,NA,NA,NA
buguo,buguo,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-64,neither,,Chinese,NA,NA,NA,NA,NA,NA
danshi,danshi,conj-contrast-epi,1,0,1,0,0,1,0,0,?,chinese-ev-13,neither,Conflicting evidence found.,Chinese,NA,NA,NA,NA,NA,NA
danshi,danshi,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-17,neither,,Chinese,NA,NA,NA,NA,NA,NA
danshi,danshi,conj-contrast-sta,1,0,1,1,0,1,0,0,1,chinese-ev-12,neither,,Chinese,NA,NA,NA,NA,NA,NA
danshi,danshi,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-58,neither,,Chinese,NA,NA,NA,NA,NA,NA
danshi,danshi,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-63,neither,,Chinese,NA,NA,NA,NA,NA,NA
